                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.023,                 2.4388,                0.98781,                0.93046,                0.13931,                0.52463,                0.35549,                 1.0448,                 3.5138,                0.94002,             0.00041045,             0.00041045,             0.00041045
                      1,                0.98038,                 1.5388,                0.98137,                0.42132,                0.48406,                0.44106,                0.31134,                  1.104,                 2.1061,                 1.0446,             0.00081074,             0.00081074,             0.00081074
                      2,                0.97592,                  1.364,                0.99505,                0.41916,                0.62215,                  0.427,                0.27549,                 1.0859,                   2.39,                 1.0502,              0.0011945,              0.0011945,              0.0011945
                      3,                0.96638,                 1.1973,                0.99186,                0.73914,                0.63939,                0.74286,                0.48094,                 1.0449,                 1.0857,                0.99197,              0.0011757,              0.0011757,              0.0011757
                      4,                0.92189,                 1.0369,                0.97005,                0.74361,                0.56555,                0.68341,                0.43088,                 1.0321,                 1.0612,                  0.995,              0.0011757,              0.0011757,              0.0011757
                      5,                0.88242,                0.91844,                0.96395,                0.81243,                0.66377,                0.70526,                 0.4643,                0.99207,                0.87136,                0.97066,               0.001151,               0.001151,               0.001151
                      6,                0.90396,                0.84564,                0.96835,                0.82243,                0.64166,                0.73972,                 0.4906,                0.88587,                0.88696,                0.98628,              0.0011263,              0.0011263,              0.0011263
                      7,                0.85478,                0.75885,                 0.9507,                0.88304,                0.76025,                0.81735,                0.54736,                0.92913,                0.67284,                0.94662,              0.0011015,              0.0011015,              0.0011015
                      8,                0.83176,                0.72174,                0.94451,                0.76111,                0.80704,                0.82207,                0.55135,                 0.8853,                0.64238,                 0.9489,              0.0010768,              0.0010768,              0.0010768
                      9,                0.83027,                0.71365,                0.94916,                0.89003,                0.77803,                0.85258,                0.54628,                0.92396,                0.66933,                0.94453,               0.001052,               0.001052,               0.001052
                     10,                0.80458,                0.65818,                0.93136,                0.97042,                0.71478,                0.83553,                0.58119,                0.88079,                0.61841,                0.94128,              0.0010273,              0.0010273,              0.0010273
                     11,                0.80277,                0.65178,                0.93421,                 0.8616,                0.84933,                 0.8598,                0.58014,                0.87352,                0.66626,                0.94654,              0.0010025,              0.0010025,              0.0010025
                     12,                0.77484,                0.62302,                0.92218,                0.89028,                0.86281,                0.87386,                0.58967,                0.87136,                0.54707,                0.92341,             0.00097775,             0.00097775,             0.00097775
                     13,                0.75766,                0.58194,                0.91379,                0.90486,                0.82987,                0.89389,                0.57881,                 0.8541,                0.53891,                0.92753,               0.000953,               0.000953,               0.000953
                     14,                0.79811,                0.60122,                0.93344,                0.87631,                0.86758,                0.86678,                0.59766,                0.90528,                0.53814,                 0.9286,             0.00092825,             0.00092825,             0.00092825
                     15,                0.77458,                0.56491,                0.91324,                0.76693,                 0.9379,                0.86216,                0.59166,                0.85622,                0.60206,                0.92672,              0.0009035,              0.0009035,              0.0009035
                     16,                 0.7448,                0.55022,                0.91122,                0.85915,                0.84686,                0.87865,                0.58371,                0.84899,                0.50251,                0.93361,             0.00087875,             0.00087875,             0.00087875
                     17,                0.73446,                0.54659,                0.91169,                0.87462,                0.85877,                0.90753,                0.64355,                0.79444,                0.47427,                0.91049,               0.000854,               0.000854,               0.000854
                     18,                0.70444,                0.52065,                0.89914,                0.85536,                0.90972,                0.88511,                0.59011,                 0.8806,                0.49604,                0.91437,             0.00082925,             0.00082925,             0.00082925
                     19,                0.72658,                0.52178,                 0.9045,                0.81737,                0.87847,                0.87007,                 0.5945,                0.80018,                0.47317,                0.90684,              0.0008045,              0.0008045,              0.0008045
                     20,                   0.72,                0.51049,                0.89669,                  0.927,                0.86642,                0.89496,                0.67258,                0.79741,                0.47077,                0.89405,             0.00077975,             0.00077975,             0.00077975
                     21,                0.69993,                 0.4999,                0.89854,                0.89595,                 0.8175,                0.87676,                0.64078,                0.80415,                0.53636,                0.89672,               0.000755,               0.000755,               0.000755
                     22,                0.69784,                  0.498,                0.89832,                0.87102,                0.87121,                0.86556,                0.62403,                0.79648,                0.47596,                0.89929,             0.00073025,             0.00073025,             0.00073025
                     23,                0.68096,                0.48556,                0.90251,                0.78544,                0.86719,                0.86139,                0.59213,                0.80868,                0.53883,                0.90326,              0.0007055,              0.0007055,              0.0007055
                     24,                0.69402,                0.47819,                0.89733,                0.84999,                0.87426,                0.87401,                0.63754,                0.76997,                0.50587,                0.89481,             0.00068075,             0.00068075,             0.00068075
                     25,                0.68542,                0.46555,                 0.8868,                 0.9424,                0.87701,                0.87892,                0.63221,                0.82449,                0.47821,                0.90529,               0.000656,               0.000656,               0.000656
                     26,                0.66105,                0.45288,                0.89075,                0.87995,                0.90252,                0.92328,                0.65357,                 0.7676,                0.41363,                0.89457,             0.00063125,             0.00063125,             0.00063125
                     27,                0.68177,                0.46087,                0.88929,                 0.8974,                0.90633,                0.92777,                0.64519,                0.77063,                0.42234,                0.88561,              0.0006065,              0.0006065,              0.0006065
                     28,                0.67439,                0.44074,                0.88237,                0.84519,                 0.7969,                 0.8671,                0.63837,                0.77516,                0.45383,                0.89252,             0.00058175,             0.00058175,             0.00058175
                     29,                0.64554,                0.41972,                 0.8783,                0.90641,                0.84683,                0.88038,                0.63577,                0.80463,                0.44989,                0.89237,               0.000557,               0.000557,               0.000557
                     30,                 0.6491,                0.42844,                0.88094,                0.83798,                0.90107,                0.90084,                0.65823,                0.72459,                0.45311,                0.87227,             0.00053225,             0.00053225,             0.00053225
                     31,                0.65446,                0.43168,                0.88736,                0.93846,                 0.9397,                0.93535,                0.65553,                0.77464,                0.41148,                0.87866,              0.0005075,              0.0005075,              0.0005075
                     32,                0.62845,                0.41268,                0.87357,                0.94711,                0.88084,                0.92115,                0.65434,                0.77197,                 0.4473,                0.88045,             0.00048275,             0.00048275,             0.00048275
                     33,                0.63571,                0.41935,                0.87358,                0.93214,                0.90719,                0.92495,                0.65058,                0.74048,                0.40685,                0.87144,               0.000458,               0.000458,               0.000458
                     34,                 0.6287,                0.41277,                0.87582,                0.90205,                0.93409,                0.92102,                0.64784,                0.75598,                 0.4176,                0.87818,             0.00043325,             0.00043325,             0.00043325
                     35,                0.61356,                0.39236,                0.86993,                0.88813,                0.87847,                 0.8847,                0.67402,                0.74209,                0.41726,                0.86898,              0.0004085,              0.0004085,              0.0004085
                     36,                0.61531,                0.39889,                0.87743,                0.94029,                0.81088,                0.88731,                 0.6501,                 0.7028,                0.41375,                0.86521,             0.00038375,             0.00038375,             0.00038375
                     37,                0.60187,                0.38688,                0.87131,                0.88766,                0.87847,                0.89445,                0.66994,                0.71674,                0.40602,                0.86563,               0.000359,               0.000359,               0.000359
                     38,                0.60349,                0.38966,                0.87486,                0.85467,                0.87847,                0.90759,                0.66414,                0.74414,                0.38842,                0.87158,             0.00033425,             0.00033425,             0.00033425
                     39,                0.59703,                0.37809,                0.86711,                0.92861,                0.93944,                0.92975,                0.68118,                0.72031,                0.38665,                0.86282,              0.0003095,              0.0003095,              0.0003095
                     40,                0.59696,                0.38132,                0.86183,                0.91981,                0.94097,                0.92815,                0.66707,                0.72646,                0.39024,                   0.86,             0.00028475,             0.00028475,             0.00028475
                     41,                0.58637,                0.37195,                0.86019,                0.90068,                0.94097,                0.94138,                0.67618,                0.73526,                0.39426,                0.86729,                0.00026,                0.00026,                0.00026
                     42,                 0.5721,                0.37467,                0.85272,                0.88893,                0.90005,                0.92585,                0.66789,                0.73131,                0.36703,                0.87136,             0.00023525,             0.00023525,             0.00023525
                     43,                0.55681,                0.35529,                0.85288,                0.84605,                0.87673,                 0.8973,                0.68657,                0.69141,                0.36915,                0.85753,              0.0002105,              0.0002105,              0.0002105
                     44,                0.55343,                0.35027,                0.85899,                0.91147,                0.93646,                0.94182,                0.69078,                 0.7301,                0.36326,                0.86714,             0.00018575,             0.00018575,             0.00018575
                     45,                0.56551,                0.34878,                0.85666,                0.90965,                0.90278,                0.93895,                0.68668,                0.73312,                0.36226,                0.86799,               0.000161,               0.000161,               0.000161
                     46,                0.57163,                0.35722,                0.84927,                0.93865,                0.90422,                0.94752,                0.68505,                0.70803,                0.34545,                0.86163,             0.00013625,             0.00013625,             0.00013625
                     47,                0.55224,                0.33795,                0.85536,                0.96195,                0.89801,                0.94798,                0.68425,                0.70161,                0.35158,                0.86203,              0.0001115,              0.0001115,              0.0001115
                     48,                0.54971,                0.34395,                0.84807,                0.91897,                0.93497,                0.93696,                0.68769,                0.69839,                0.34835,                0.85758,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.54705,                 0.3361,                0.85191,                0.92252,                0.93699,                0.93739,                0.68564,                0.69464,                0.35318,                 0.8591,                6.2e-05,                6.2e-05,                6.2e-05
