                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0186,                 1.7336,                 1.0274,                0.66785,                 0.7091,                0.64929,                0.40997,                 1.0802,                 1.0511,                 1.0635,             0.00041045,             0.00041045,             0.00041045
                      1,                0.97312,                0.97482,                 1.0163,                0.53297,                0.42143,                0.51135,                0.32837,                 1.1001,                 1.6543,                 1.0739,             0.00081074,             0.00081074,             0.00081074
                      2,                0.97943,                0.90641,                 1.0399,                0.65547,                0.67049,                0.65389,                0.34778,                 1.1519,                 1.7622,                 1.1265,              0.0011945,              0.0011945,              0.0011945
                      3,                0.98569,                0.88455,                 1.0269,                0.50674,                0.58026,                0.52525,                0.33273,                 1.1266,                  1.085,                 1.0408,              0.0011757,              0.0011757,              0.0011757
                      4,                0.93542,                0.77552,                 1.0077,                0.83479,                0.64061,                0.70611,                0.45492,                 1.0742,                0.81831,                 1.0242,              0.0011757,              0.0011757,              0.0011757
                      5,                0.89885,                0.74043,                 0.9969,                0.80576,                0.74465,                0.74605,                0.44762,                 1.0771,                0.79056,                 1.0082,               0.001151,               0.001151,               0.001151
                      6,                0.88886,                0.70571,                 0.9874,                0.87963,                0.68425,                0.80578,                0.51212,                0.86443,                0.73032,                0.95342,              0.0011263,              0.0011263,              0.0011263
                      7,                0.86661,                0.66157,                0.98313,                0.72469,                0.76597,                0.74914,                 0.4737,                 0.9914,                0.70411,                 1.0136,              0.0011015,              0.0011015,              0.0011015
                      8,                0.83457,                0.63452,                0.97183,                0.99162,                0.59732,                0.77453,                0.49746,                0.96717,                0.70742,                0.99947,              0.0010768,              0.0010768,              0.0010768
                      9,                0.84535,                0.62908,                0.97575,                0.83693,                0.77581,                0.84714,                  0.538,                0.97826,                0.64904,                 1.0026,               0.001052,               0.001052,               0.001052
                     10,                0.79159,                0.59767,                0.94505,                0.88674,                0.81541,                0.86693,                0.54879,                 0.9438,                0.58265,                0.98083,              0.0010273,              0.0010273,              0.0010273
