                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.72857,                 1.0514,                0.94102,                0.73806,                0.53874,                0.68196,                0.44681,                0.87077,                 1.2611,                0.96602,             0.00043325,             0.00043325,             0.00043325
                     35,                 0.7467,                 1.0297,                0.96015,                0.92729,                0.47668,                0.68037,                0.41997,                0.91416,                 1.6874,                0.98316,              0.0004085,              0.0004085,              0.0004085
                     36,                0.69854,                 1.0482,                0.93552,                0.65818,                 0.5506,                0.68019,                0.41278,                0.90267,                 1.4083,                0.96828,             0.00038375,             0.00038375,             0.00038375
                     37,                0.70029,                 1.0064,                0.96389,                0.83473,                0.50238,                 0.6963,                0.44768,                0.85323,                 1.4861,                0.95643,               0.000359,               0.000359,               0.000359
                     38,                0.70596,                0.98358,                0.94104,                0.64176,                0.49054,                0.64467,                0.43121,                0.89191,                 1.5601,                0.97327,             0.00033425,             0.00033425,             0.00033425
                     39,                 0.6648,                0.96428,                0.92473,                0.60344,                0.52225,                0.65026,                0.41232,                0.90079,                 1.7368,                0.97789,              0.0003095,              0.0003095,              0.0003095
                     40,                0.66022,                0.94939,                0.94062,                0.70028,                0.46026,                0.59509,                0.40045,                 0.8851,                  2.041,                0.97443,             0.00028475,             0.00028475,             0.00028475
                     41,                0.66997,                0.96294,                0.93591,                0.63952,                0.46662,                0.60972,                0.40561,                0.90461,                 1.7749,                0.99086,                0.00026,                0.00026,                0.00026
                     42,                0.66102,                0.90481,                0.92912,                0.73231,                 0.5173,                0.68783,                0.46149,                0.87334,                  1.639,                 0.9577,             0.00023525,             0.00023525,             0.00023525
                     43,                0.65132,                0.90308,                 0.9237,                0.68293,                0.58765,                 0.6449,                0.43756,                 0.8836,                 1.7713,                0.97088,              0.0002105,              0.0002105,              0.0002105
                     44,                0.63115,                0.86577,                 0.9159,                0.67542,                0.43604,                0.60948,                0.42742,                0.86005,                 1.7482,                 0.9757,             0.00018575,             0.00018575,             0.00018575
                     45,                0.65963,                0.92425,                0.93292,                0.66233,                0.43956,                0.63373,                0.42535,                0.89808,                 1.7962,                0.97968,               0.000161,               0.000161,               0.000161
                     46,                0.61173,                0.82565,                0.91341,                0.65561,                0.42826,                0.62297,                0.41354,                0.86705,                  1.722,                0.96681,             0.00013625,             0.00013625,             0.00013625
                     47,                0.62275,                0.85079,                0.90871,                0.62926,                0.43623,                0.61524,                 0.4291,                0.87328,                 1.7475,                0.97636,              0.0001115,              0.0001115,              0.0001115
                     48,                0.63449,                0.91818,                0.92039,                0.65317,                0.43575,                0.59174,                0.40497,                0.89425,                 1.8189,                0.97442,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.65071,                0.92632,                0.91827,                0.68158,                0.41361,                0.61086,                 0.4101,                0.89722,                 1.8935,                0.98333,                6.2e-05,                6.2e-05,                6.2e-05
