                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0151,                 1.7745,                 1.0545,                0.88316,                    0.7,                0.77974,                0.60761,                0.87391,                 1.2109,                0.98393,             0.00040833,             0.00040833,             0.00040833
                      1,                0.92113,                0.95426,                0.99666,                0.87867,                0.72751,                0.81448,                0.61119,                0.89262,                 1.8975,                  1.001,             0.00080866,             0.00080866,             0.00080866
                      2,                0.91457,                0.93835,                 1.0199,                0.72392,                0.71974,                0.75302,                0.57477,                  1.026,                 1.8075,                 1.1505,              0.0011925,              0.0011925,              0.0011925
                      3,                0.93047,                0.87557,                  1.025,                0.92547,                 0.5605,                0.67881,                0.47938,                 1.1097,                 1.4681,                  1.155,              0.0011757,              0.0011757,              0.0011757
                      4,                0.87212,                0.76434,                0.99844,                0.95902,                0.84167,                 0.8899,                0.67417,                0.86609,                0.81457,                 1.0914,              0.0011757,              0.0011757,              0.0011757
                      5,                0.87624,                 0.7523,                 1.0213,                0.92464,                0.82964,                0.91003,                0.69749,                 0.8213,                 1.0897,                  1.036,               0.001151,               0.001151,               0.001151
                      6,                0.84322,                0.69737,                 1.0027,                0.89304,                0.88954,                 0.9233,                0.69738,                0.83983,                0.75991,                 1.0248,              0.0011263,              0.0011263,              0.0011263
                      7,                 0.8188,                0.65723,                0.98972,                  0.953,                0.86611,                 0.9154,                0.69168,                0.79565,                0.72458,                0.95508,              0.0011015,              0.0011015,              0.0011015
                      8,                0.84897,                0.65774,                0.98925,                0.94548,                0.92894,                0.95496,                0.72579,                0.80566,                0.57948,                 0.9937,              0.0010768,              0.0010768,              0.0010768
                      9,                0.76548,                0.59206,                0.96166,                0.87745,                0.90078,                0.93334,                0.71408,                 0.7829,                 0.5695,                0.96333,               0.001052,               0.001052,               0.001052
                     10,                0.75709,                0.59072,                0.96741,                  0.902,                0.87755,                0.93627,                0.74408,                  0.708,                 0.6734,                0.92434,              0.0010273,              0.0010273,              0.0010273
                     11,                0.80969,                0.62022,                0.97145,                0.95392,                0.86689,                 0.9381,                0.74288,                0.75029,                0.52439,                0.92608,              0.0010025,              0.0010025,              0.0010025
                     12,                0.75933,                 0.5709,                0.95493,                0.90039,                   0.85,                0.92422,                0.71633,                 0.7362,                0.59686,                0.96413,             0.00097775,             0.00097775,             0.00097775
                     13,                0.74956,                0.56376,                0.94975,                0.92217,                0.96513,                0.94965,                0.75065,                0.72714,                0.54684,                0.92294,               0.000953,               0.000953,               0.000953
                     14,                0.72821,                0.57317,                0.95813,                0.90927,                0.92166,                0.95852,                0.80312,                0.67152,                 0.5135,                0.92977,             0.00092825,             0.00092825,             0.00092825
                     15,                 0.7305,                0.52704,                 0.9491,                0.98484,                0.92725,                0.96686,                0.78335,                0.69272,                0.45479,                0.92558,              0.0009035,              0.0009035,              0.0009035
                     16,                0.72262,                0.52005,                0.94702,                 0.9543,                0.90485,                0.94654,                0.76638,                0.74102,                0.44901,                0.92112,             0.00087875,             0.00087875,             0.00087875
                     17,                0.70028,                0.50157,                0.93853,                0.97644,                0.89487,                0.93125,                0.76838,                0.71777,                0.47027,                0.93324,               0.000854,               0.000854,               0.000854
                     18,                 0.6755,                0.47765,                0.92391,                0.98085,                0.94763,                0.98269,                0.78722,                0.65713,                0.39466,                0.90477,             0.00082925,             0.00082925,             0.00082925
                     19,                0.71561,                0.50438,                0.93263,                0.89621,                0.93333,                0.96036,                0.75488,                0.68111,                0.42439,                 0.9064,              0.0008045,              0.0008045,              0.0008045
                     20,                0.67064,                 0.4663,                0.91778,                0.96105,                0.96331,                0.96327,                0.77648,                0.64682,                0.39618,                0.90085,             0.00077975,             0.00077975,             0.00077975
                     21,                0.66816,                0.46597,                0.92719,                0.94162,                0.94902,                0.96966,                0.78226,                0.68953,                0.39781,                0.90297,               0.000755,               0.000755,               0.000755
                     22,                0.67888,                0.48082,                0.91422,                0.92167,                0.95982,                0.95692,                0.77363,                0.62682,                0.39656,                 0.9039,             0.00073025,             0.00073025,             0.00073025
                     23,                0.64875,                0.45871,                0.91167,                0.91508,                0.89265,                0.91711,                0.76655,                0.67237,                0.43815,                0.90918,              0.0007055,              0.0007055,              0.0007055
                     24,                0.65836,                0.45345,                0.91351,                0.98557,                0.93288,                0.96187,                0.79052,                0.65411,                0.37182,                0.90961,             0.00068075,             0.00068075,             0.00068075
                     25,                0.64914,                0.44667,                0.90515,                0.98238,                0.92572,                0.97209,                0.79361,                0.67371,                0.38037,                0.90613,               0.000656,               0.000656,               0.000656
                     26,                0.61984,                0.43049,                0.90102,                0.95449,                0.96595,                0.97892,                0.80287,                 0.6876,                0.38629,                0.91297,             0.00063125,             0.00063125,             0.00063125
                     27,                0.60762,                0.41586,                0.89722,                0.96152,                0.95214,                0.98062,                0.79161,                0.66989,                0.37542,                0.91233,              0.0006065,              0.0006065,              0.0006065
                     28,                0.63496,                0.44093,                0.90305,                0.97105,                0.95583,                0.97338,                0.84393,                0.60331,                0.35899,                0.87777,             0.00058175,             0.00058175,             0.00058175
                     29,                0.61405,                0.40606,                0.89541,                0.97072,                0.95621,                0.98377,                0.81258,                0.65636,                0.34773,                0.90158,               0.000557,               0.000557,               0.000557
                     30,                0.60448,                0.39578,                0.89554,                0.95341,                0.96853,                0.98339,                0.82093,                0.60637,                0.34012,                 0.9027,             0.00053225,             0.00053225,             0.00053225
                     31,                0.60462,                0.39899,                0.89444,                0.97634,                0.95209,                0.98063,                0.83188,                0.63882,                0.36236,                0.89433,              0.0005075,              0.0005075,              0.0005075
                     32,                0.61017,                0.40373,                0.89537,                0.98579,                0.95255,                0.97733,                0.81651,                0.63903,                0.34625,                0.88771,             0.00048275,             0.00048275,             0.00048275
                     33,                0.59542,                0.38246,                0.89092,                0.93986,                0.96285,                 0.9686,                0.83261,                0.61725,                 0.3159,                0.87991,               0.000458,               0.000458,               0.000458
                     34,                0.58812,                0.37984,                0.89825,                0.96114,                0.97368,                 0.9899,                0.84643,                0.61073,                 0.3252,                0.88243,             0.00043325,             0.00043325,             0.00043325
                     35,                0.56999,                0.36709,                0.88276,                0.97754,                 0.9234,                0.98021,                0.80835,                0.63036,                0.34206,                0.89594,              0.0004085,              0.0004085,              0.0004085
                     36,                0.59439,                0.36694,                0.88803,                0.97773,                0.99167,                0.99476,                0.84074,                0.63387,                0.33151,                0.88244,             0.00038375,             0.00038375,             0.00038375
                     37,                0.55809,                0.34873,                0.87674,                0.98141,                0.98743,                  0.995,                0.83987,                0.60892,                 0.3199,                0.86516,               0.000359,               0.000359,               0.000359
                     38,                0.57825,                0.36622,                0.87937,                0.98318,                0.92699,                 0.9769,                0.79326,                0.68251,                0.33859,                 0.8931,             0.00033425,             0.00033425,             0.00033425
                     39,                0.56396,                0.35346,                0.87374,                 0.9732,                0.97182,                0.99406,                0.81447,                 0.6458,                 0.3338,                0.88464,              0.0003095,              0.0003095,              0.0003095
                     40,                0.55755,                0.34842,                0.88404,                0.97759,                 0.9815,                0.99476,                0.81086,                0.63153,                0.30797,                0.88714,             0.00028475,             0.00028475,             0.00028475
                     41,                0.54587,                0.33491,                0.87058,                0.97238,                0.98738,                0.99476,                0.82135,                0.64096,                0.31093,                0.87979,                0.00026,                0.00026,                0.00026
                     42,                 0.5436,                0.33746,                0.87323,                0.97872,                0.98216,                  0.995,                0.82428,                0.61947,                0.30494,                0.87728,             0.00023525,             0.00023525,             0.00023525
                     43,                0.53041,                0.33628,                0.87259,                0.97624,                  0.976,                0.99476,                0.84086,                0.63393,                0.30187,                0.87889,              0.0002105,              0.0002105,              0.0002105
                     44,                0.52848,                0.33136,                 0.8695,                0.98397,                0.98018,                0.99476,                0.83742,                0.60332,                0.29546,                0.86962,             0.00018575,             0.00018575,             0.00018575
                     45,                0.51826,                0.32438,                0.87106,                0.98241,                0.97666,                0.99406,                0.83609,                0.60273,                0.28755,                0.86942,               0.000161,               0.000161,               0.000161
                     46,                0.52073,                0.32554,                0.86562,                0.98285,                 0.9848,                0.99476,                 0.8365,                0.61179,                0.29345,                0.87516,             0.00013625,             0.00013625,             0.00013625
                     47,                0.51113,                0.30801,                0.85869,                0.97248,                 0.9913,                0.99476,                0.82929,                0.61555,                 0.2891,                0.87576,              0.0001115,              0.0001115,              0.0001115
                     48,                0.50507,                0.31412,                0.86073,                0.98209,                0.99596,                  0.995,                0.85073,                0.59238,                0.28494,                0.87059,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 0.5002,                0.30387,                0.86238,                 0.9838,                0.99664,                  0.995,                0.84038,                0.61885,                0.28427,                0.87671,                6.2e-05,                6.2e-05,                6.2e-05
