                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67688,                0.45175,                 0.8752,                0.85091,                0.83306,                0.86909,                 0.6489,                 0.7523,                0.47692,                0.87649,              0.0004085,              0.0004085,              0.0004085
                     36,                0.64907,                0.43816,                0.87708,                0.80092,                0.89434,                0.89596,                0.65133,                0.74907,                0.46878,                0.87981,             0.00038375,             0.00038375,             0.00038375
                     37,                0.67718,                0.44516,                0.87878,                 0.7815,                 0.8745,                0.88382,                0.64574,                 0.7366,                0.44759,                0.87563,               0.000359,               0.000359,               0.000359
                     38,                0.64648,                0.41892,                0.87744,                0.83053,                0.86558,                0.87967,                0.66615,                0.73021,                0.42971,                0.87584,             0.00033425,             0.00033425,             0.00033425
                     39,                0.63408,                0.40974,                0.88121,                0.82955,                0.87943,                0.87954,                0.65408,                0.72075,                0.46125,                0.87781,              0.0003095,              0.0003095,              0.0003095
                     40,                0.63981,                 0.4211,                0.87496,                0.85615,                0.83311,                0.88566,                0.65235,                0.72441,                0.44943,                0.87159,             0.00028475,             0.00028475,             0.00028475
                     41,                0.63714,                0.41373,                0.86838,                 0.8074,                0.88966,                 0.8898,                0.64766,                0.72271,                0.42205,                0.87311,                0.00026,                0.00026,                0.00026
                     42,                0.63609,                0.41198,                0.87311,                0.81799,                0.87882,                0.89342,                0.64228,                0.73846,                0.43905,                0.87231,             0.00023525,             0.00023525,             0.00023525
                     43,                0.64927,                0.41833,                0.87609,                0.79452,                0.83513,                0.86397,                0.65057,                0.72004,                0.44919,                0.86834,              0.0002105,              0.0002105,              0.0002105
                     44,                0.62989,                0.41152,                 0.8713,                0.82712,                0.81518,                0.87722,                0.66011,                0.70418,                0.42911,                 0.8651,             0.00018575,             0.00018575,             0.00018575
                     45,                 0.6043,                0.38496,                0.86029,                0.85983,                0.81151,                 0.8852,                0.67334,                0.68836,                0.41744,                0.86301,               0.000161,               0.000161,               0.000161
                     46,                0.62384,                0.40045,                0.86678,                0.84527,                0.81252,                0.88634,                0.67141,                0.72194,                 0.4125,                0.87145,             0.00013625,             0.00013625,             0.00013625
                     47,                0.61739,                0.39578,                0.86434,                0.83482,                0.90972,                0.91666,                0.67843,                0.71214,                0.40109,                0.87415,              0.0001115,              0.0001115,              0.0001115
                     48,                0.60831,                0.39433,                0.86763,                  0.806,                0.87397,                0.89508,                0.68228,                0.69663,                0.40493,                0.86635,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.60839,                0.38752,                0.86319,                0.91559,                 0.8221,                0.90693,                0.68449,                0.69562,                0.39821,                0.86371,                6.2e-05,                6.2e-05,                6.2e-05
